Car_Name,Doors,Cylinder_no,Engine_size,HP,Citympg,Highwaympg,Price
alfa-romero giulia,2,4,130,111,21,27,13495
alfa-romero stelvio,2,4,130,111,21,27,16500
alfa-romero Quadrifoglio,2,6,152,154,19,26,16500
audi 100 ls,4,4,109,102,24,30,13950
audi 100ls,4,5,136,115,18,22,17450
audi fox,2,5,136,110,19,25,15250
audi 100ls,4,5,136,110,19,25,17710
audi 5000,4,5,136,110,19,25,18920
audi 4000,4,5,131,140,17,20,23875
audi 5000s (diesel),2,5,131,160,16,22,17859.167
bmw 320i,2,4,108,101,23,29,16430
bmw 320i,4,4,108,101,23,29,16925
bmw x1,2,6,164,121,21,28,20970
bmw x3,4,6,164,121,21,28,21105
bmw z4,4,6,164,121,20,25,24565
bmw x4,4,6,209,182,16,22,30760
bmw x5,2,6,209,182,16,22,41315
bmw x3,4,6,209,182,15,20,36880
chevrolet impala,2,3,61,48,47,53,5151
chevrolet monte carlo,2,4,90,70,38,43,6295
chevrolet vega 2300,4,4,90,70,38,43,6575
dodge rampage,2,4,90,68,37,41,5572
dodge challenger se,2,4,90,68,31,38,6377
dodge d200,2,4,98,102,24,30,7957
dodge monaco (sw),4,4,90,68,31,38,6229
dodge colt hardtop,4,4,90,68,31,38,6692
dodge colt (sw),4,4,90,68,31,38,7609
dodge coronet custom,2,4,98,102,24,30,8558
dodge dart custom,4,4,122,88,24,30,8921
dodge coronet custom (sw),2,4,156,145,19,24,12964
honda civic,2,4,92,58,49,54,6479
honda civic cvcc,2,4,92,76,31,38,6855
honda civic,2,4,79,60,38,42,5399
honda accord cvcc,2,4,92,76,30,34,6529
honda civic cvcc,2,4,92,76,30,34,7129
honda accord lx,4,4,92,76,30,34,7295
honda civic 1500 gl,4,4,92,76,30,34,7295
honda accord,2,4,110,86,27,33,7895
honda civic 1300,2,4,110,86,27,33,9095
honda prelude,4,4,110,86,27,33,8845
honda accord,4,4,110,86,27,33,10295
honda civic,4,4,110,101,24,28,12945
honda civic (auto),2,4,110,100,25,31,10345
isuzu MU-X,4,4,111,78,24,29,6785
isuzu D-Max ,2,4,90,70,38,43,8916.5
isuzu D-Max V-Cross,4,4,90,70,38,43,8916.5
isuzu D-Max ,2,4,119,90,24,29,11048
jaguar xj,4,6,258,176,15,19,32250
jaguar xf,4,6,258,176,15,19,35550
jaguar xk,2,12,326,262,13,17,36000
maxda rx3,2,4,91,68,30,31,5195
maxda glc deluxe,2,4,91,68,31,38,6095
mazda rx2 coupe,2,4,91,68,31,38,6795
mazda rx-4,4,4,91,68,31,38,6695
mazda glc deluxe,4,4,91,68,31,38,7395
mazda 626,2,2,70,101,17,23,10945
mazda glc,2,2,70,101,17,23,11845
mazda rx-7 gs,2,2,70,101,17,23,13645
mazda glc 4,2,2,80,135,16,23,15645
mazda 626,2,4,122,84,26,32,8845
mazda glc custom l,4,4,122,84,26,32,8495
mazda glc custom,2,4,122,84,26,32,10595
